Study,N1,Mean1,SD1,N2,Mean2,SD2,Cohen's d,Hedges' g,SE,Items,Cronbach Alpha
1,71,66.59969709057026,7.340279606636548,34,72.59298951155544,7.33991780504304,-0.8165066438333406,-0.8105467413236082,0.2160346110556463,10,0.80871254182523
2,43,31.02922471479012,17.48663961200633,22,38.87877397560009,8.185086660174143,-0.521928451113402,-0.5156902624546761,0.2660936219153823,10,0.8272737450810651
3,40,45.21211214797688,11.479175279631736,52,50.83589430613807,9.368437102970628,-0.5440887959228412,-0.5395420928928454,0.21410194336778068,10,0.8917779342083569
4,61,48.318092164684586,16.777639420895206,79,53.59844208576977,7.995106732375396,-0.4193974374177097,-0.4171139667965606,0.172278449261727,10,0.8771351657620418
5,83,72.99702033681604,11.757488779543145,22,79.39855802975494,5.198974417397998,-0.5954858997456964,-0.5911392873387935,0.24329267583536968,10,0.9413302633527278
6,33,30.798312611010708,8.615381990390176,28,34.952781739121455,15.248952782381874,-0.3430403185702101,-0.3386610804608032,0.2588085756028028,10,0.8914994986673931
7,27,38.6682326753886,7.733541316820935,66,43.6235357132548,16.330421154764785,-0.34393958078348746,-0.3410971049092438,0.22983590619354427,10,0.8637733811736867
8,73,39.24272277627635,16.626992350416717,23,47.090645915099145,19.09248412346284,-0.45533050145460435,-0.4516878574429675,0.2413642749517486,10,0.9342241025641473
9,33,46.32703844029177,12.812513900387355,67,52.17925831231877,19.417580365240237,-0.33371591204035894,-0.3311554318968268,0.2139748466224554,10,0.9266800773017226
10,72,47.83766633467947,13.140441247373728,43,52.242338883116375,7.11386337462144,-0.39038725892834836,-0.38779044789334827,0.19444104802004128,10,0.9203295471131059
11,84,51.17007403531848,9.402322620770573,90,56.144481626196324,5.211197340726267,-0.6605480551210444,-0.6576635657973717,0.15578728076030363,10,0.8298263606133208
12,27,69.50877702656028,18.894513177700233,54,75.53857690046534,14.766155382529167,-0.37126740838039357,-0.3677315283005803,0.2375003507278176,10,0.9372439513315671
13,92,52.47253370691017,10.562273782973996,91,55.94958428936223,15.032618789954109,-0.26789809678449295,-0.26678648642439134,0.14850813929419132,10,0.8998883534926245
14,63,53.610746258097464,15.698671808344924,54,57.208717487788974,16.411775729253463,-0.22443469929861018,-0.22296780583914214,0.18602901600102334,10,0.8841915796354244
15,33,56.1366414690997,5.3812869011614275,46,61.27434656089245,6.618371404899567,-0.837492540964489,-0.829308574766139,0.23765807734271932,10,0.8047143778530101
16,71,75.37832369630465,11.155743845534445,23,79.62478484204902,16.33326707814573,-0.33731314590536965,-0.3345558177372059,0.24118039207268166,10,0.8343197248237434
17,51,44.4875726456884,18.945464785138597,90,48.29367908195842,17.121805693466253,-0.21383427337474142,-0.21267841243758068,0.1757301908623788,10,0.8950105634765635
18,25,70.18360384495573,18.388384977349666,47,74.11645413938591,13.09013362873476,-0.26015507244213426,-0.25735770607178876,0.24848863221471595,10,0.9211160232746094
19,81,41.39675812709709,17.270221488837397,20,46.53229707022837,17.910958748845154,-0.2952303881928603,-0.2929881320800031,0.2505537248232475,10,0.8010428195796786
20,91,50.87055015743895,6.797980510005242,46,54.9810892097926,10.06422757105442,-0.5115395022114491,-0.5086923435720533,0.18352970097589094,10,0.9414364555868778
21,51,48.1814801189647,19.43670942413167,71,56.0403905325695,8.776734437380462,-0.5524787487130829,-0.5490185477816857,0.18693128188138589,10,0.8745872758838578
22,75,43.33905071376425,11.165555199773468,100,51.22212549292752,5.495760993508226,-0.9381229036277204,-0.9340500111372961,0.16077261004268084,10,0.8517606872040024
23,20,64.03527257773834,11.716747468596374,38,69.68994549432402,13.29339633606992,-0.44245291874377646,-0.4365006373256987,0.27929091501348763,10,0.8889045085819091
24,74,48.482722803070224,17.04709634569844,94,52.693522494457355,12.054509516690576,-0.2911245037013232,-0.2898071982547109,0.1562179691197514,10,0.9475134711342263
25,30,71.7651247794619,7.797777655997813,35,76.36902510432058,5.611627123321458,-0.6864267483948963,-0.6782224446292202,0.2559867894507755,10,0.8886339414782363
26,78,30.82939144639281,8.39743662796907,55,36.38985673788921,14.677591856141747,-0.4872115826724014,-0.48441686996108746,0.17859092556776535,10,0.8261549643507488
27,52,49.33676731502687,7.062814162189898,59,57.02041725871054,10.115995265753877,-0.871161414646477,-0.8651534048902944,0.19899369409184078,10,0.8170210281860883
28,42,73.86696766904905,14.899760690512686,50,78.15667580762482,17.258333003018237,-0.264365280929359,-0.2621561003087794,0.21021264315172108,10,0.8832801217399193
29,79,79.81268498789622,13.374401804106464,21,87.63978174434018,18.239545147840097,-0.5397822141050125,-0.5356406625901402,0.2484634775182651,10,0.828306066251207
30,38,72.3330571119153,11.067621906832851,67,79.61467857130576,18.316551481414397,-0.452475300183142,-0.44917256076574685,0.20546553464845055,10,0.9276392673151269
31,91,74.92770942635397,5.137955774249445,55,80.95985472465192,6.5220731429904815,-1.0589124195923552,-1.0533876591423081,0.18168897130913994,10,0.8995252653662084
32,37,64.59475988463467,8.364039641908397,85,70.85456618214768,15.682688320213037,-0.45041589756205264,-0.4475949211681358,0.19905573515839256,10,0.8355873631245201
33,40,67.32457025590121,17.73835115741267,67,73.57273475113728,14.86419338450515,-0.39070193515246815,-0.38790454659529056,0.20159038061253168,10,0.8852462905003208
